cmd_deg,speed_mms,dir,actual_deg,error_deg,h0_deg,h1_deg
30,60,1,29.98,-0.02,34.07,64.05
-30,60,-1,-28.41,1.59,64.51,36.1
90,60,1,77.98,-12.02,36.09,114.07
-90,60,-1,-85.07,4.93,120.75,35.68
180,60,1,171.99,-8.01,35.37,-152.64
-180,60,-1,-172.31,7.69,-152.7,34.99
300,60,1,286.19,-13.81,34.87,-38.94
-300,60,-1,-285.58,14.42,-39.0,35.42
400,60,1,382.3,-17.7,35.71,58.01
-400,60,-1,-383.58,16.42,58.08,34.5
30,80,1,29.84,-0.16,34.71,64.54
-30,80,-1,-29.16,0.84,64.71,35.55
90,80,1,87.94,-2.06,35.44,123.38
-90,80,-1,-86.68,3.32,123.56,36.88
180,80,1,172.3,-7.7,37.42,-150.28
-180,80,-1,-171.52,8.48,-151.21,37.27
300,80,1,287.46,-12.54,36.8,-35.73
-300,80,-1,-288.53,11.47,-35.67,35.8
400,80,1,384.74,-15.26,35.77,60.51
-400,80,-1,-382.72,17.28,60.2,37.48
30,100,1,48.61,18.61,37.93,86.54
-30,100,-1,-42.21,-12.21,85.95,43.74
90,100,1,90.52,0.52,43.74,134.26
-90,100,-1,-84.06,5.94,134.41,50.34
180,100,1,170.06,-9.94,50.34,-139.59
-180,100,-1,-173.5,6.5,-139.72,46.78
300,100,1,288.1,-11.9,46.64,-25.26
-300,100,-1,-288.45,11.55,-24.29,47.26
400,100,1,383.89,-16.11,47.03,70.92
-400,100,-1,-382.44,17.56,71.0,48.57
30,60,1,31.74,1.74,48.56,80.3
-30,60,-1,-31.28,-1.28,80.19,48.91
90,60,1,86.35,-3.65,48.76,135.12
-90,60,-1,-88.94,1.06,134.54,45.6
180,60,1,173.1,-6.9,45.67,-141.24
-180,60,-1,-171.77,8.23,-141.23,46.99
300,60,1,285.88,-14.12,46.09,-28.04
-300,60,-1,-287.09,12.91,-26.04,46.87
400,60,1,381.7,-18.3,46.81,68.5
-400,60,-1,-381.63,18.37,68.63,46.99
30,80,1,33.61,3.61,46.82,80.43
-30,80,-1,-32.71,-2.71,79.29,46.58
90,80,1,87.19,-2.81,46.46,133.65
-90,80,-1,-84.56,5.44,132.48,47.92
180,80,1,169.33,-10.67,47.96,-142.71
-180,80,-1,-173.09,6.91,-142.63,44.28
300,80,1,289.18,-10.82,44.51,-26.31
-300,80,-1,-287.59,12.41,-26.48,45.94
400,80,1,384.26,-15.74,46.07,70.34
-400,80,-1,-380.81,19.19,71.1,50.29
30,100,1,46.49,16.49,50.21,96.71
-30,100,-1,-36.5,-6.5,96.26,59.76
90,100,1,88.33,-1.67,59.79,148.12
-90,100,-1,-91.04,-1.04,149.64,58.6
180,100,1,178.42,-1.58,58.73,-122.85
-180,100,-1,-172.65,7.35,-122.98,64.37
300,100,1,288.05,-11.95,64.61,-7.34
-300,100,-1,-288.94,11.06,-7.34,63.73
400,100,1,387.63,-12.37,63.66,91.29
-400,100,-1,-385.35,14.65,91.3,65.96
