cmd_deg,speed_mms,dir,actual_deg,error_deg,h0_deg,h1_deg
30,60,1,31.02,1.02,-13.29,17.73
-30,60,-1,-29.72,0.28,17.8,-11.92
60,60,1,59.94,-0.06,-12.22,47.71
-60,60,-1,-56.72,3.28,47.73,-8.99
120,60,1,115.0,-5.0,-9.05,105.95
-120,60,-1,-113.9,6.1,106.37,-7.53
200,60,1,191.62,-8.38,-7.2,-175.58
-200,60,-1,-192.79,7.21,-175.03,-7.82
300,60,1,287.25,-12.75,-7.91,-80.66
-300,60,-1,-287.34,12.66,-80.52,-7.85
400,60,1,384.42,-15.58,-7.49,16.93
-400,60,-1,-382.86,17.14,17.03,-5.83
30,100,1,40.13,10.13,-6.09,34.04
-30,100,-1,-30.04,-0.04,33.85,3.81
60,100,1,53.78,-6.22,3.78,57.56
-120,100,-1,-111.3,8.7,110.23,-1.07
200,100,1,194.54,-5.46,-0.07,-165.53
-200,100,-1,-192.85,7.15,-165.29,1.86
300,100,1,291.06,-8.94,1.87,-67.06
-300,100,-1,-285.89,14.11,-66.94,7.17
-400,100,-1,-383.22,16.78,30.4,7.18
30,150,1,48.8,18.8,6.51,55.31
-30,150,-1,-43.64,-13.64,55.72,12.08
60,150,1,66.62,6.62,12.15,78.77
-60,150,-1,-78.32,-18.32,78.41,0.09
120,150,1,121.17,1.17,0.08,121.25
-120,150,-1,-115.35,4.65,122.52,7.16
200,150,1,199.9,-0.1,7.3,-152.8
-200,150,-1,-186.8,13.2,-152.79,20.41
300,150,1,279.08,-20.92,20.98,-59.93
-300,150,-1,-289.85,10.15,-59.98,10.17
400,150,1,288.09,-111.91,10.06,-61.85
-400,150,-1,-291.69,108.31,-61.85,6.46
